term,mean_tfidf,class_
upgrade,0.001296,netral
or,0.001296,netral
sekali login,0.001288,netral
mula,0.001287,netral
perangkat,0.001284,netral
tidak log in,0.001283,netral
bang,0.001279,netral
malah gak,0.001277,netral
timeout,0.001276,netral
terupdate,0.001276,netral
sulit login,0.001275,netral
tidak log,0.001275,netral
banyak kendala,0.001275,netral
sering susah,0.001274,netral
maklum,0.001273,netral
lancar guna,0.001273,netral
hasil milu,0.001271,netral
koreksi,0.00127,netral
hp yg,0.001268,netral
arah,0.001265,netral
lelet,0.001263,netral
kndala,0.001262,netral
notif,0.001261,netral
selesai,0.001257,netral
dgn,0.001257,netral
android versi,0.001257,netral
masuk nya,0.001255,netral
banyak update,0.001251,netral
login admin,0.001251,netral
app,0.001248,netral
mas,0.001246,netral
kaya,0.001245,netral
jam,0.001241,netral
harus,0.00124,netral
hitung,0.001234,netral
sayang,0.001233,netral
rekap hasil milu,0.001232,netral
solusi terima,0.00123,netral
aplikasi yg,0.00123,netral
moga baik,0.001227,netral
galeri,0.001222,netral
good,0.001217,netral
buang,0.001213,netral
inisial gagal,0.001213,netral
ikut,0.001209,netral
berat,0.001205,netral
sertifikat mohon,0.001203,netral
msih,0.001202,netral
trouble,0.001201,netral
aplikasi kurang,0.001201,netral
keluar sendiri,0.001197,netral
masuk akun,0.001193,netral
username password salah,0.001188,netral
dipake,0.001187,netral
deteksi,0.001185,netral
masukin,0.001185,netral
puas,0.001182,netral
tahap,0.001182,netral
flash,0.001179,netral
malah ga,0.001178,netral
mohon maaf,0.001178,netral
tdk masuk,0.001177,netral
paksa,0.001177,netral
blum maksimal,0.001175,netral
logout,0.001172,netral
upload foto,0.001169,netral
lemooot,0.001168,netral
cupu,0.001168,netral
dokumen,0.001167,netral
parah,0.001165,netral
kak,0.001163,netral
login aja,0.001162,netral
invalid username,0.00116,netral
password bagaimana,0.001159,netral
pusing,0.001155,netral
harap,0.001155,netral
aplikasi,0.038412,negatif
login,0.020212,negatif
tidak,0.019993,negatif
apk,0.014248,negatif
susah,0.013691,negatif
nya,0.012869,negatif
gak,0.012825,negatif
belum,0.012618,negatif
masuk,0.012267,negatif
guna,0.012082,negatif
malah,0.011962,negatif
sulit,0.010808,negatif
siap,0.010449,negatif
baik,0.010445,negatif
buat,0.010416,negatif
ga,0.0104,negatif
terus,0.010325,negatif
aja,0.010316,negatif
gagal,0.01007,negatif
yg,0.010019,negatif
hari,0.009918,negatif
banyak,0.009729,negatif
emo_lainnya,0.009727,negatif
bikin,0.009176,negatif
sangat,0.008724,negatif
mau,0.008025,negatif
update,0.008007,negatif
milu,0.007793,negatif
mudah,0.007721,negatif
eror,0.007506,negatif
sirekap,0.007383,negatif
udah,0.007368,negatif
error,0.006954,negatif
buka,0.006935,negatif
jadi,0.006899,negatif
padahal,0.006778,negatif
pakai,0.006735,negatif
apa,0.006591,negatif
server,0.006513,negatif
belum siap,0.006323,negatif
kpps,0.0063,negatif
bukan,0.006264,negatif
kerja,0.00623,negatif
kpu,0.006089,negatif
gk,0.005952,negatif
buruk,0.005777,negatif
sama,0.005768,negatif
pas,0.005764,negatif
lama,0.005657,negatif
kalau,0.005622,negatif
jangan,0.005604,negatif
gimana,0.005532,negatif
sekali,0.005342,negatif
mohon,0.005284,negatif
paksa,0.005281,negatif
jelas,0.005268,negatif
baru,0.005217,negatif
log,0.005161,negatif
coba,0.005161,negatif
jelek,0.005082,negatif
kurang,0.005049,negatif
versi,0.005008,negatif
hasil,0.004942,negatif
selalu,0.004891,negatif
in,0.004821,negatif
banget,0.004805,negatif
kok,0.00477,negatif
kalo,0.004758,negatif
salah,0.004701,negatif
lebih,0.004673,negatif
gin,0.004665,negatif
masalah,0.004644,negatif
aplikasi tidak,0.004584,negatif
tidak login,0.004464,negatif
kali,0.004421,negatif
digital,0.004399,negatif
bagus,0.004383,negatif
foto,0.004372,negatif
aplikasi belum,0.004303,negatif
password,0.004287,negatif
log in,0.004274,negatif
pake,0.00425,negatif
ribet,0.004108,negatif
data,0.004106,negatif
terlalu,0.004058,negatif
tidak guna,0.004048,negatif
layak,0.004016,negatif
emo_lainnya emo_lainnya,0.00401,negatif
emo_senang,0.003967,negatif
sering,0.003946,negatif
hp,0.003911,negatif
parah,0.00389,negatif
bug,0.003886,negatif
lah,0.003881,negatif
inisial,0.003853,negatif
blm,0.003779,negatif
negara,0.003757,negatif
username,0.003722,negatif
aplikasi nya,0.003704,negatif
waktu,0.003683,negatif
dulu,0.003667,negatif
mulu,0.00363,negatif
mudah malah,0.00359,negatif
down,0.003581,negatif
bantu,0.00357,negatif
gabisa,0.003549,negatif
